symbol,value
Š,0
€,1
„,2
œ,3
‘,4
Ž,5
›,6
‚,7
…,8
Œ,9
™,10
†,11
š,12
†,13
‚,14
“,15
‡,16
™,17
•,18
ˆ,19
†,20
ž,21
ˆ,22
†,23
”,24
Œ,25
—,26
Ž,27
”,28
‹,29
•,30
„,31
›,32
…,33
™,34
‡,35
‹,36
Ž,37
“,38
’,39
ž,40
•,41
œ,42
™,43
’,44
›,45
†,46
‹,47
Œ,48
˜,49
€,50
•,51
„,52
’,53
”,54
—,55
›,56
–,57
…,58
œ,59
’,60
Œ,61
€,62
š,63
Ÿ,64
‘,65
†,66
ž,67
‘,68
’,69
„,70
™,71
‡,72
—,73
‰,74
„,75
‘,76
—,77
–,78
“,79
š,80
™,81
’,82
ƒ,83
œ,84
…,85
„,86
„,87
ˆ,88
œ,89
Ÿ,90
—,91
Ž,92
Œ,93
’,94
–,95
‹,96
•,97
Ÿ,98
‡,99
Ž,100
‘,101
™,102
ˆ,103
Œ,104
œ,105
‰,106
Š,107
–,108
•,109
ˆ,110
”,111
Ž,112
›,113
€,114
–,115
Ž,116
”,117
‰,118
—,119
€,120
‘,121
…,122
“,123
‡,124
š,125
‚,126
“,127
Š,128
ˆ,129
†,130
ˆ,131
Š,132
‡,133
“,134
š,135
‚,136
™,137
ƒ,138
›,139
‰,140
’,141
’,142
“,143
†,144
›,145
”,146
—,147
–,148
˜,149
‡,150
†,151
ž,152
š,153
Ÿ,154
ˆ,155
š,156
‰,157
—,158
€,159
†,160
›,161
œ,162
’,163
„,164
‘,165
Ž,166
‹,167
š,168
™,169
‰,170
ž,171
‰,172
Ž,173
…,174
–,175
Œ,176
‡,177
€,178
—,179
—,180
‡,181
‘,182
’,183
‹,184
Š,185
”,186
‘,187
‹,188
’,189
Œ,190
ˆ,191
€,192
›,193
„,194
”,195
“,196
’,197
‚,198
‚,199
ƒ,200
„,201
™,202
™,203
–,204
†,205
›,206
”,207
›,208
“,209
˜,210
™,211
›,212
–,213
›,214
€,215
’,216
Ž,217
„,218
Ž,219
›,220
’,221
—,222
ž,223
‰,224
’,225
‚,226
Š,227
Ÿ,228
„,229
˜,230
š,231
„,232
Œ,233
ƒ,234
„,235
›,236
‚,237
”,238
Ž,239
Š,240
‡,241
“,242
–,243
„,244
‚,245
•,246
•,247
‚,248
‹,249
“,250
”,251
–,252
ƒ,253
”,254
—,255
ƒ,256
„,257
†,258
‹,259
ž,260
†,261
Ž,262
‚,263
•,264
ž,265
—,266
‹,267
‰,268
–,269
Œ,270
›,271
Ÿ,272
‰,273
‚,274
…,275
”,276
‹,277
‰,278
Ž,279
€,280
‰,281
Ÿ,282
‰,283
‰,284
™,285
˜,286
Ÿ,287
Ž,288
ž,289
Š,290
›,291
™,292
™,293
“,294
–,295
‚,296
˜,297
Œ,298
Š,299
™,300
Œ,301
–,302
‰,303
…,304
„,305
„,306
†,307
•,308
Œ,309
‚,310
€,311
‹,312
“,313
‘,314
ƒ,315
ƒ,316
…,317
†,318
Ž,319
›,320
ž,321
Ž,322
Ÿ,323
Š,324
…,325
ž,326
‘,327
†,328
’,329
ƒ,330
‚,331
—,332
Š,333
ƒ,334
›,335
ƒ,336
…,337
‘,338
ƒ,339
Š,340
ƒ,341
•,342
‚,343
Ž,344
ž,345
š,346
˜,347
ˆ,348
Ž,349
“,350
ˆ,351
œ,352
…,353
€,354
™,355
‚,356
ƒ,357
–,358
œ,359
Œ,360
ž,361
‰,362
™,363
€,364
ž,365
ƒ,366
•,367
‘,368
†,369
Œ,370
˜,371
‡,372
‰,373
‚,374
š,375
€,376
‘,377
ˆ,378
‹,379
–,380
–,381
“,382
Ÿ,383
”,384
‚,385
‹,386
ˆ,387
„,388
œ,389
†,390
‹,391
›,392
‰,393
œ,394
›,395
•,396
‘,397
Š,398
ž,399
‡,400
”,401
‚,402
Ž,403
Ž,404
’,405
›,406
’,407
€,408
ˆ,409
‹,410
Š,411
œ,412
•,413
‚,414
œ,415
‡,416
”,417
†,418
›,419
‡,420
‹,421
”,422
“,423
’,424
‡,425
›,426
Š,427
ˆ,428
—,429
š,430
–,431
‚,432
Œ,433
‘,434
š,435
‰,436
Ÿ,437
“,438
Ž,439
€,440
„,441
’,442
Ž,443
“,444
“,445
Ÿ,446
‚,447
Š,448
‘,449
œ,450
“,451
€,452
š,453
•,454
™,455
”,456
…,457
Š,458
…,459
‰,460
‚,461
œ,462
–,463
‰,464
š,465
”,466
’,467
œ,468
ˆ,469
Ž,470
š,471
ˆ,472
›,473
”,474
˜,475
ˆ,476
Ÿ,477
œ,478
™,479
“,480
ž,481
ƒ,482
—,483
’,484
š,485
•,486
—,487
’,488
‚,489
œ,490
‘,491
œ,492
•,493
“,494
‰,495
•,496
Ÿ,497
†,498
Š,499
