studentId,class
1,4N
2,4I
3,2A
4,5S
5,9Q
6,1X
7,1I
8,9D
9,3R
10,3E
11,4Y
12,4T
13,8U
14,6L
15,3A
16,12Q
17,10G
18,4U
19,6H
20,12V
21,10O
22,11M
23,8P
24,1S
25,2R
26,3M
27,2G
28,8J
29,1N
30,6E
31,8X
32,10W
33,6M
34,9U
35,12J
36,11H
37,6R
38,8P
39,10I
40,10O
41,12A
42,4H
43,11I
44,8G
45,4C
46,5G
47,6N
48,7K
49,7N
50,12B
51,1N
52,3P
53,2X
54,1E
55,7V
56,9W
57,3C
58,1A
59,4K
60,2T
61,6K
62,10N
63,5U
64,12X
65,3L
66,4T
67,6D
68,1H
69,6K
70,6F
71,6B
72,8N
73,2R
74,6Z
75,10X
76,1I
77,4Q
78,12U
79,4V
80,12Q
81,1X
82,6O
83,6P
84,11C
85,11X
86,12V
87,11U
88,12X
89,1V
90,9U
91,2B
92,11B
93,11A
94,9F
95,7U
96,11G
97,1E
98,5T
99,1M
100,5F
101,4K
102,5N
103,6S
104,2W
105,6L
106,6K
107,7A
108,10X
109,6B
110,11R
111,4V
112,2G
113,11V
114,7L
115,8F
116,4C
117,11M
118,10G
119,11L
120,12V
121,5R
122,5O
123,5E
124,12U
125,12N
126,11B
127,2Y
128,4I
129,12T
130,3I
131,8Z
132,5H
133,9X
134,10N
135,1W
136,5D
137,8I
138,5O
139,11L
140,9Q
141,4J
142,2Y
143,1H
144,7X
145,3D
146,12T
147,7S
148,3Q
149,5R
150,6I
151,3W
152,2R
153,1O
154,2O
155,12P
156,11C
157,1P
158,2W
159,11U
160,2A
161,10X
162,3D
163,4U
164,12X
165,4T
166,4F
167,7L
168,11U
169,2E
170,9D
171,10J
172,8N
173,6S
174,4Q
175,6V
176,7R
177,3A
178,8U
179,9C
180,10H
181,4M
182,11R
183,7L
184,2U
185,3T
186,7S
187,6G
188,12U
189,2B
190,3C
191,8C
192,1M
193,10J
194,2J
195,1R
196,8P
197,11D
198,7Q
199,3B
200,7M
201,8K
202,5C
203,2P
204,9A
205,10I
206,1J
207,4Y
208,12Z
209,3Q
210,10Y
211,6M
212,3A
213,6J
214,7B
215,1E
216,4R
217,9U
218,8H
219,6X
220,11P
221,10N
222,10N
223,2J
224,4X
225,3T
226,6X
227,1P
228,5K
229,4C
230,2I
231,1Q
232,10V
233,1K
234,9G
235,3V
236,10I
237,4E
238,5Y
239,12C
240,3K
241,5U
242,9M
243,6N
244,11U
245,3F
246,5F
247,11Q
248,6E
249,12T
250,10Q
251,1N
252,6R
253,12J
254,11H
255,2B
256,6W
257,1E
258,9F
259,6O
260,7M
261,1M
262,1G
263,6F
264,1B
265,12S
266,11M
267,6M
268,12A
269,12Z
270,9L
271,1P
272,11Z
273,1J
274,4U
275,10P
276,1V
277,1N
278,3Q
279,7U
280,2A
281,12R
282,9M
283,1X
284,4Z
285,11U
286,4T
287,9B
288,9I
289,9D
290,7P
291,1Y
292,10U
293,8L
294,9P
295,8Y
296,6G
297,3R
298,1N
299,11Q
300,5U
301,5B
302,6A
303,12M
304,9J
305,1Y
306,2U
307,11M
308,9U
309,8M
310,10V
311,9X
312,7U
313,6U
314,6E
315,9Q
316,11G
317,6V
318,12S
319,3H
320,1C
321,4D
322,3I
323,4Z
324,4E
325,1T
326,3K
327,11P
328,5V
329,7I
330,4T
331,4L
332,4S
333,8S
334,6E
335,1M
336,3G
337,5G
338,7A
339,3W
340,3C
341,3Q
342,5L
343,6G
344,8D
345,12X
346,7G
347,2S
348,8B
349,9M
350,7T
351,6A
352,8S
353,3S
354,4H
355,3E
356,1A
357,11G
358,4R
359,3A
360,4N
361,8S
362,4S
363,12Q
364,4S
365,2B
366,7O
367,8J
368,7C
369,10N
370,8C
371,6K
372,12Y
373,4R
374,11V
375,1C
376,9U
377,7Z
378,12S
379,12U
380,3H
381,10S
382,7Z
383,3B
384,11S
385,5P
386,6M
387,10P
388,7U
389,5Z
390,5H
391,2F
392,10A
393,5I
394,11T
395,5R
396,1F
397,8U
398,11O
399,12W
400,5R
401,2E
402,6J
403,7S
404,5C
405,12O
406,9S
407,10I
408,12N
409,6O
410,2T
411,3S
412,11K
413,9I
414,4N
415,9A
416,4U
417,9K
418,6D
419,7R
420,9P
421,12P
422,1W
423,1J
424,8N
425,10E
426,11V
427,11Y
428,5D
429,11U
430,6G
431,8G
432,4E
433,9C
434,6M
435,8N
436,3Z
437,6A
438,5A
439,8W
440,9R
441,1C
442,7G
443,6I
444,4T
445,10E
446,12F
447,12S
448,12W
449,8R
450,3E
451,3D
452,11B
453,1W
454,5B
455,6T
456,1C
457,7E
458,9D
459,7V
460,6M
461,6J
462,2W
463,7S
464,3Z
465,1L
466,12L
467,6J
468,3O
469,11R
470,9D
471,12H
472,4M
473,10X
474,1S
475,7K
476,12J
477,3H
478,3C
479,6W
480,2P
481,7Y
482,12E
483,11F
484,6J
485,6Y
486,12Y
487,6G
488,2J
489,12L
490,6E
491,7I
492,2W
493,2M
494,2E
495,10M
496,4R
497,4D
498,8N
499,9Y
500,11E
501,5C
502,10S
503,7Z
504,10B
505,9H
506,10F
507,8V
508,1R
509,3Q
510,10A
511,6P
512,9O
513,9W
514,8R
515,8X
516,8Z
517,3A
518,6V
519,2Q
520,10C
521,2L
522,10I
523,12E
524,8I
525,3L
526,8L
527,2Y
528,2Q
529,4K
530,4F
531,5B
532,4X
533,10P
534,1S
535,2R
536,11D
537,10C
538,5M
539,10B
540,12E
541,8K
542,7L
543,9J
544,12R
545,12G
546,1W
547,1H
548,8K
549,1Y
550,6K
551,4B
552,8A
553,2Q
554,7W
555,2J
556,10R
557,1L
558,10O
559,3Z
560,8M
561,10X
562,11Q
563,9M
564,9V
565,2Q
566,3I
567,9T
568,9Y
569,3R
570,12O
571,1R
572,6J
573,12A
574,4X
575,6X
576,8S
577,7Z
578,6D
579,4A
580,7K
581,12J
582,5K
583,10G
584,4Y
585,3D
586,11Z
587,11K
588,2H
589,6O
590,7F
591,10S
592,2V
593,1Q
594,3U
595,1S
596,4E
597,7C
598,3M
599,9L
600,10L
601,3F
602,10M
603,1K
604,6L
605,3U
606,1S
607,8S
608,3K
609,9K
610,7I
611,10L
612,12N
613,10W
614,3B
615,7K
616,1I
617,1Z
618,4V
619,9F
620,2H
621,7P
622,1Z
623,3I
624,10S
625,9Z
626,12C
627,11W
628,12H
629,6B
630,9B
631,9G
632,5E
633,8J
634,8O
635,11R
636,1K
637,10Y
638,4F
639,2X
640,5G
641,2G
642,7O
643,2C
644,8K
645,1P
646,7Y
647,8P
648,10S
649,9Y
650,5A
651,6R
652,1M
653,7X
654,2T
655,12Z
656,5N
657,4J
658,9T
659,9J
660,1F
661,9J
662,2A
663,12D
664,10B
665,4C
666,7B
667,3J
668,3M
669,1G
670,2I
671,12N
672,12E
673,7G
674,7Z
675,9F
676,8W
677,8P
678,4R
679,11J
680,9J
681,3B
682,10Z
683,11H
684,4D
685,12H
686,2J
687,9D
688,12I
689,5X
690,1E
691,7E
692,6A
693,8X
694,5G
695,12J
696,9A
697,3B
698,12P
699,11T
700,10Z
701,3Q
702,1E
703,5T
704,5Q
705,8I
706,3G
707,12P
708,8Z
709,6F
710,5H
711,7P
712,3U
713,11Y
714,3F
715,11Z
716,10T
717,10G
718,4E
719,1S
720,3F
721,10S
722,2C
723,7Z
724,6S
725,4Y
726,6H
727,1B
728,10L
729,6Q
730,12G
731,5F
732,11Y
733,11C
734,5J
735,2C
736,9K
737,8T
738,1M
739,3K
740,2L
741,9D
742,1X
743,8Y
744,12U
745,6N
746,7M
747,5A
748,11N
749,9S
750,7N
751,9B
752,11P
753,5D
754,12J
755,7Y
756,8F
757,10T
758,9L
759,8C
760,1I
761,12K
762,8V
763,3W
764,2Y
765,11I
766,5H
767,8Z
768,2J
769,12O
770,5M
771,8G
772,4U
773,6T
774,9D
775,12W
776,10F
